census1990,naics2002
10,111
11,112
12,54194
20,56173
30,115
31,"1131, 1132"
32,114
40,2122
41,2121
42,211
50,2123
60,23
100,3116
101,3115
102,3114
110,"3111, 3112"
111,3118
112,3113
120,3121
121,"3117, 3119"
122,311
130,3122
132,"31324, 3151"
140,3133
141,31411
142,"3131, 3132"
150,314
151,3152
152,3159
160,3221
161,"32222, 32223, 32229"
162,32221
171,51111
172,"3231, 5111"
180,3252
181,3254
182,3256
190,3255
191,3253
192,"3251, 3259"
200,32411
201,"32412, 32419 "
210,32621
211,"32622, 32629"
212,3261
221,3162
222,"3161, 3169"
230,1133
231,"3211, 3212"
232,"321991, 321992"
241,3219
242,337
250,3272
251,"3273, 3274"
252,32712
261,32711
262,3279
270,"3311, 3312"
271,3315
272,3313
280,3314
281,3322
282,"3323, 3324"
290,3327
291,3321
292,"332992, 332993, 332994, 332995"
300,"3328, 3325, 3326, 3329"
301,"331, 332"
310,3336
311,33311
312,"33312, 33313"
320,3335
321,3333
322,3341
331,"3332, 3334, 3339"
332,333
340,3352
341,"3342, 3343"
342,"3344, 3346, 3351, 3353, 3359"
351,"3361, 3362, 3363"
352,"336411, 336412, 336413"
360,3366
361,3365
362,"336414, 336415, 336419"
370,3369
371,3345
372,3391
390,"33992, 33993"
391,3399
392,"31, 32, 33"
400,482
401,"487, 4851, 4852, 4854, 4855, 4859 "
402,4853
410,"484, 492"
411,493
412,491
420,483
421,481
422,486
432,488
432,5615
440,"5151, 5152, 5175"
441,5171
442,"5172, 5173, 5174, 5179"
450,2211
451,2212
452,"2211, 2212"
470,"22131, 22133"
471,22132
471,562
472,22
500,4231
501,4232
502,4233
510,4234
511,4235
512,4236
521,4237
530,4238
531,42393
532,4239
540,4241
541,"4242, 4246"
542,4243
550,4244
551,4245
552,4247
560,4248
561,42491
562,4249
571,42
580,4441
581,44413
582,4442
591,45211
600,4529
601,4451
610,311811
611,4452
612,4411
620,4413
621,447
622,4412
623,"4481, 4482"
630,44821
631,442
632,443111
633,"443112, 44312"
640,"45114, 45122"
641,"722, 7224"
642,44611
650,4453
651,"44313, 45111, 45112"
652,"45321, 45121"
660,4483
661,45322
662,45113
663,454111
670,4542
671,45439
672,45431
681,4531
682,"446, 4533, 4539"
691,"44, 45"
700,"521, 52211,52219"
701,"52212, 52213"
702,"5222, 5223"
710,"523, 525"
711,524
712,531
721,5418
722,5617
731,5613
732,"5112, 5182"
732,5415
740,5616
741,"5122, 5191, 53221, 53222, 53229, 5323, 5324, 533, 5414, 5614, 5611, 5612, 5619"
742,5321
750,811192
751,8111
752,8112
760,"8113, 8114"
761,814
762,7211
770,"7212, 7213"
771,8123
772,"812112, 812113, 81219"
780,812111
781,8122
782,81143
791,8129
800,5121
801,53223
802,71395
810,"711, 713"
812,"6211, 6214"
820,6212
821,62131
822,62132
830,6213
831,622
832,6231
840,"6216, 6215, 6219"
841,5411
842,6111
850,"6112, 6113"
851,"6114, 6115"
852,51912
860,"6116, 6117"
861,6243
862,6244
870,"6232, 6233, 6239"
871,"6241, 6242"
872,712
873,81393
880,8131
881,"8132, 8133, 8134, 8139"
882,5413
890,5412
891,5417
892,5416
893,5419
900,"92111, 92112, 92114, 92115"
901,92119
910,"922, 92115"
921,92113
922,923
930,"924, 925"
931,"926, 927"
932,928
940,928110
941,928110
942,928110
950,928110
951,928110
952,928110
960,928110
