OCC2010,stem,stem_related,high_tech,tech_group
10,,,,
20,,,,
30,,,,
100,,,,
110,1,1,1,
120,,,,
130,,,,
140,,,,
150,,,,
160,,,,
205,,,,
220,,,,
230,,,,
300,1,1,1,
310,,,,
320,,,,
330,,,,
350,,1,,
360,1,1,1,
410,,,,
420,,,,
430,,,,
500,,,,
510,,,,
520,,,,
530,,,,
540,,,,
560,,,,
600,,,,
620,,,,
700,,,,
710,,,,
720,,,,
730,,,,
800,,,,
810,,,,
820,,,,
830,,,,
840,,,,
850,,,,
860,,,,
900,,,,
910,,,,
930,,,,
940,,,,
950,,,,
1000,1,1,1,1
1010,1,1,1,1
1020,1,1,1,1
1050,1,1,1,1
1060,1,1,1,1
1100,1,1,1,1
1200,1,1,1,1
1220,1,1,1,1
1230,1,1,1,1
1240,1,1,1,1
1300,,1,,1
1310,1,1,,1
1320,1,1,1,1
1350,1,1,1,1
1360,1,1,1,1
1400,1,1,1,1
1410,1,1,1,1
1420,1,1,1,1
1430,1,1,1,1
1440,1,1,1,1
1450,1,1,1,1
1460,1,1,1,1
1520,1,1,1,1
1530,1,1,1,1
1540,1,1,1,1
1550,1,1,1,1
1560,1,1,1,1
1600,1,1,1,1
1610,1,1,1,1
1640,1,1,1,1
1650,1,1,1,1
1700,1,1,1,1
1710,1,1,1,1
1720,1,1,1,1
1740,1,1,1,1
1760,1,1,1,1
1800,1,1,,1
1820,1,1,,1
1830,1,1,,1
1840,1,1,,1
1900,1,1,1,1
1910,1,1,1,1
1920,1,1,1,1
1930,1,1,1,1
1960,1,1,1,1
2000,,,,
2010,,,,
2020,,,,
2040,,,,
2050,,,,
2060,,,,
2100,,,,
2140,,,,
2150,,,,
2200,,,,
2300,,,,
2310,,,,
2320,,,,
2330,,,,
2340,,,,
2400,,,,
2430,,,,
2440,,,,
2540,,,,
2550,,,,
2600,,,,
2630,,,,
2700,,,,
2720,,,,
2740,,,,
2750,,,,
2760,,,,
2800,,,,
2810,,,,
2825,,,,
2840,,,,
2850,,,,
2860,,,,
2900,,,,
2910,,,,
2920,,,,
3000,,1,,1
3010,,1,,1
3030,,1,,1
3040,,1,,1
3050,,1,,1
3060,,1,,1
3110,,1,,1
3120,,1,,1
