"name","total","tech_ws","control_ws","tech_comp","control_comp"
"Std Dev","0.069","0.068","0.017","0.055","-0.071"
"pct","100","98.7%","24.3%","80.7%","-103.7%"
"90-10","-0.044","0.010","-0.011","0.219","-0.261"
"pct","100","-21.7%","24.5%","-498.5%","595.8%"
"50-10","0.007","0.040","-0.048","0.120","-0.104"
"pct","100","536.1%","-646.1%","1607.9%","-1398.0%"
"90-50","-0.051","-0.030","0.037","0.099","-0.157"
"pct","100","59.3%","-72.9%","-192.8%","306.4%"
"75-25","0.048","0.040","-0.005","0.128","-0.115"
"pct","100","84.4%","-10.7%","266.6%","-240.2%"
"95-5","0.007","0.100","-0.120","0.267","-0.240"
"pct","100","1410.0%","-1689.8%","3768.8%","-3388.9%"
"Gini","-0.004","0.020","-0.025","0.037","-0.036"
"pct","100","-503.5%","624.2%","-931.8%","911.1%"
