"name","total","tech_ws","control_ws","tech_comp","control_comp"
"Std Dev","0.069","0.066","0.017","0.054","-0.069"
"pct","100","96.8%","25.0%","78.5%","-100.3%"
"90-10","-0.044","-0.005","0.004","0.203","-0.246"
"pct","100","11.9%","-9.9%","-462.2%","560.3%"
"50-10","0.007","0.023","-0.029","0.107","-0.093"
"pct","100","309.6%","-390.5%","1431.2%","-1250.3%"
"90-50","-0.051","-0.028","0.033","0.096","-0.153"
"pct","100","55.1%","-65.1%","-187.4%","297.5%"
"75-25","0.048","0.041","-0.010","0.118","-0.101"
"pct","100","85.3%","-21.6%","246.9%","-210.5%"
"95-5","0.007","0.081","-0.101","0.266","-0.239"
"pct","100","1149.9%","-1429.4%","3757.3%","-3377.7%"
"Gini","-0.004","0.018","-0.024","0.037","-0.035"
"pct","100","-455.4%","612.6%","-922.2%","865.0%"
