"name","total","tech_ws","control_ws","tech_comp","control_comp"
"Std Dev","0.069","0.068","0.016","0.055","-0.070"
"pct","100","99.0%","23.8%","79.9%","-102.7%"
"90-10","-0.044","0.012","-0.012","0.211","-0.255"
"pct","100","-26.9%","27.4%","-481.9%","581.4%"
"50-10","0.007","0.042","-0.048","0.109","-0.096"
"pct","100","567.8%","-641.9%","1466.2%","-1292.1%"
"90-50","-0.051","-0.030","0.036","0.102","-0.159"
"pct","100","59.4%","-69.7%","-199.2%","309.4%"
"75-25","0.048","0.041","-0.007","0.123","-0.108"
"pct","100","85.0%","-15.4%","256.9%","-226.4%"
"95-5","0.007","0.101","-0.120","0.270","-0.243"
"pct","100","1419.7%","-1699.5%","3816.3%","-3436.5%"
"Gini","-0.004","0.019","-0.025","0.037","-0.036"
"pct","100","-486.7%","613.6%","-924.2%","897.3%"
