"name","total","tech_ws","control_ws","tech_comp","control_comp"
"Std Dev","0.069","0.063","0.019","0.052","-0.066"
"pct","100","92.5%","28.3%","75.7%","-96.6%"
"90-10","-0.044","-0.003","-0.005","0.204","-0.239"
"pct","100","7.7%","12.3%","-465.3%","545.3%"
"50-10","0.007","0.025","-0.031","0.105","-0.091"
"pct","100","338.0%","-421.9%","1405.6%","-1221.7%"
"90-50","-0.051","-0.029","0.026","0.099","-0.148"
"pct","100","55.7%","-50.7%","-193.8%","288.8%"
"75-25","0.048","0.028","0.005","0.106","-0.092"
"pct","100","59.1%","10.7%","222.3%","-192.1%"
"95-5","0.007","0.051","-0.098","0.278","-0.225"
"pct","100","725.6%","-1385.5%","3929.1%","-3169.2%"
"Gini","-0.004","0.015","-0.022","0.036","-0.033"
"pct","100","-380.6%","558.2%","-896.2%","818.6%"
